TickerId;fund_asset_class_focus;cj_micro_geo;exch_code;cj_micro_asset_class;custom_asset_class_2;n_group;c_equity_type;cj_strategy;fund_mkt_cap_focus;fund_incept_dt;fund_expense_ratio;exchange_geography;front_load;cj_eur_hedged;n_gics_2;n_gics_3;n_gics_1;profilo_duration;gics_industry_group;equity_sectors;is_filled;c_fund_strategy;currency_hedged_indicator;res_update_asset_class;esignal_ticker;etf_undl_index_ticker;dvd_currency;ravenna_currency;back_load;valeur_macro;custom_asset_class;c_fund_geo_focus_1;c_fund_geo_focus_2;company_name;n_bics_1;n_bics_2;c_fixed_income_risk;i_sector;c_fund_mkt_cap_focus;fund_geo_focus;profilo_asset_class;n_bics_3;fund_euro_direct_ucits;i_sub_group;i_group;is_customised;alive;georgia_micro_asset_class;fund_typ;fund_rtg_class_focus;economic_association;fund_benchmark_prim;c_fund_industry_focus;fund_maturity_band_focus;c_fund_typ;fund_total_assets_crncy;cj_asset_class;n_icb_3;n_icb_2;n_icb_1;gics_industry;exchange_country;fund_industry_focus;currency;profilo_currency;credinvest_duration;fund_assets_usd;gics_sector;replication_strategy;ticker;n_sub_group;fund_strategy;c_economic_association;profilo_id;c_fund_rtg_class_focus;c_fund_asset_class_focus;last_val;fx_exposure;cj_macro_geo;fund_open_shr_class;n_sector;isin;;;
2950;;null;GY;null;null;Auto Manufacturers;null;null;;;;Europe;;null;Automobiles & Components;Automobiles;Consumer Discretionary;null;2510;null;false;;;null;VOW-XET;;;null;;null;Single Stock;;;Volkswagen AG;Consumer Discretionary;Consumer Discretionary Products;null;0;;;null;Automotive;;0;0;false;true;null;;;;;;;;;null;Automobiles and Parts;Automobiles and Parts;Consumer Discretionary;251020;Germany;;EUR;null;null;;25;;VOW GY Equity;Auto-Cars/Light Trucks;;;null;;;null;null;null;;Consumer; Cyclical;;;
2949;;Europe;FP;null;null;Electrical Compo&Equip;null;null;;;;Europe;;null;Capital Goods;Electrical Equipment;Industrials;null;2010;null;false;;;null;SU-EEB;;EUR;null;;Climate change;Single Stock;;;Schneider Electric SE;Industrials;Industrial Products;null;10011;;;null;Electrical Equipment;;412;20080;false;true;null;;;;;;;;;Single Stock;Electronic and Electrical Equipment;Industrial Goods and Services;Industrials;201040;France;;EUR;null;null;;20;;SU FP Equity;Power Conv/Supply Equip;;;null;;;null;null;null;;Industrial;FR0000121972;;;
2948;;null;GY;null;null;Insurance;null;null;;;;Europe;;null;Insurance;Insurance;Financials;null;4030;null;false;;;null;MUV2-XET;;EUR;null;;null;Single Stock;;;Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen;Financials;Insurance;null;10008;;;null;Insurance;;286;20055;false;true;null;;;;;;;;;null;Non-life Insurance;Insurance;Financials;403010;Germany;;EUR;null;null;;40;;MUV2 GY Equity;Reinsurance;;;null;;;null;null;null;;Financial;DE0008430026;;;
2937;;null;GY;null;null;Transportation;null;null;;;;Europe;;null;Transportation;Air Freight & Logistics;Industrials;null;2030;null;false;;;null;DPW-XET;;EUR;null;;null;Single Stock;;;Deutsche Post AG;Industrials;Industrial Services;null;10011;;;null;Transportation & Logistics;;236;20091;false;true;null;;;;;;;;;null;Industrial Transportation;Industrial Goods and Services;Industrials;203010;Germany;;EUR;null;null;;20;;DPW GY Equity;Transport-Services;;;null;;;null;null;null;;Industrial;DE0005552004;;;
2934;;Europe;FP;null;null;Auto Manufacturers;null;null;;;;Europe;;null;Automobiles & Components;Automobiles;Consumer Discretionary;null;2510;null;false;;;null;RNO-EEB;;EUR;null;;Climate change;Single Stock;;;Renault SA;Consumer Discretionary;Consumer Discretionary Products;null;10004;;;null;Automotive;;25;20020;false;true;null;;;;;;;;;Single Stock;Automobiles and Parts;Automobiles and Parts;Consumer Discretionary;251020;France;;EUR;null;null;;25;;RNO FP Equity;Auto-Cars/Light Trucks;;;null;;;null;null;null;;Consumer; Cyclical;FR0000131906;;
2931;;null;FP;null;null;Aerospace/Defense;null;null;;;;Europe;;null;Capital Goods;Aerospace & Defense;Industrials;null;2010;null;false;;;null;AIR-EEB;;EUR;null;;null;Single Stock;;;Airbus SE;Industrials;Industrial Products;null;10011;;;null;Aerospace & Defense;;241;20078;false;true;null;;;;;;;;;null;Aerospace and Defense;Industrial Goods and Services;Industrials;201010;France;;EUR;null;null;;20;;AIR FP Equity;Aerospace/Defense-Equip;;;null;;;null;null;null;;Industrial;NL0000235190;;;
2927;;null;NA;null;null;Insurance;null;null;;;;Europe;;null;Insurance;Insurance;Financials;null;4030;null;false;;;null;AGN-EEB;;EUR;null;;null;Single Stock;;;Aegon NV;Financials;Insurance;null;10008;;;null;Insurance;;165;20055;false;true;null;;;;;;;;;null;Life Insurance;Insurance;Financials;403010;Netherlands;;EUR;null;null;;40;;AGN NA Equity;Multi-line Insurance;;;null;;;null;null;null;;Financial;NL0000303709;;;
2919;;Europe;FP;null;null;Healthcare-Products;null;null;;;;Europe;;null;Consumer Durables & Apparel;Textiles; Apparel & Luxury Goo;Consumer Discretionary;null;2520;null;false;;;null;EL-EEB;;EUR;null;;Demographics;Single Stock;;;EssilorLuxottica SA;Health Care;Health Care;null;10005;;;null;Medical Equipment & Devices;;122;20041;false;true;null;;;;;;;;;Single Stock;Medical Equipment and Services;Health Care;Health Care;252030;France;;EUR;null;null;;25;;EL FP Equity;Optical Supplies;;;null;;;null;null;null;;Consumer; Non-cyclical;FR0000121667;
2908;;null;ID;null;null;Banks;null;null;;;;Europe;;null;Banks;Banks;Financials;null;4010;null;false;;;null;A5G-DUB;;EUR;null;;null;Single Stock;;;AIB Group PLC;Financials;Banking;null;10008;;;null;Banking;;675;20051;false;true;null;;;;;;;;;null;Banks;Banks;Financials;401010;Ireland;;EUR;null;null;;40;;AIBG ID Equity;Commer Banks Non-US;;;null;;;null;null;null;;Financial;IE00BF0L3536;;;
2907;;null;GY;null;null;Chemicals;null;null;;;;Europe;;null;Materials;Chemicals;Materials;null;1510;null;false;;;null;BAS-XET;;EUR;null;;null;Single Stock;;;BASF SE;Materials;Materials;null;10002;;;null;Chemicals;;1;20010;false;true;null;;;;;;;;;null;Chemicals;Chemicals;Basic Materials;151010;Germany;;EUR;null;null;;15;;BAS GY Equity;Chemicals-Diversified;;;null;;;null;null;null;;Basic Materials;DE000BASF111;;;
